colsample_bytree,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,subsample,model,MSE,R2,Accuracy
0.7,0.05,6,3,200,0.0,1.0,0.9,XGBoost,0.025200746443374868,0.6371066807428198,0.717391304347826
0.7,0.1,3,3,200,0.5,2.0,0.9,XGBoost,0.025286554848689028,0.6367974164005766,0.717391304347826
0.9,0.2,5,3,100,0.5,2.0,0.7,XGBoost,0.025007631653606487,0.636508644319493,0.717391304347826
0.9,0.2,3,3,100,0.5,1.0,0.9,XGBoost,0.025238430754345554,0.636432475332404,0.717391304347826
0.7,0.1,6,1,200,0.5,2.0,0.9,XGBoost,0.025466624777053744,0.6360836777952142,0.717391304347826
0.9,0.1,6,1,300,0.5,1.0,0.7,XGBoost,0.025356566078637035,0.635238136281491,0.717391304347826
0.7,0.1,5,3,300,0.5,2.0,0.7,XGBoost,0.025324067245736385,0.6351263745482205,0.717391304347826
0.9,0.05,5,1,300,0.5,1.0,0.7,XGBoost,0.02528725006404438,0.6350051819340197,0.717391304347826
0.7,0.1,6,3,200,0.5,2.0,0.9,XGBoost,0.025346438333971162,0.6347299733639278,0.717391304347826
0.9,0.2,5,3,100,0.5,1.0,0.7,XGBoost,0.02567310196928441,0.634719828203192,0.717391304347826
0.7,0.1,6,1,200,0.5,1.0,0.9,XGBoost,0.02558528715599326,0.6346893940787123,0.717391304347826
0.7,0.1,6,3,300,0.5,2.0,0.9,XGBoost,0.025340644953613177,0.634645835251457,0.717391304347826
0.9,0.1,6,1,200,0.5,1.0,0.7,XGBoost,0.025435841200228917,0.6340552903604274,0.717391304347826
0.7,0.05,6,3,300,0.0,1.0,0.9,XGBoost,0.025428681377941523,0.6339699490769192,0.717391304347826
0.7,0.2,6,1,100,0.5,2.0,0.9,XGBoost,0.02592910432134537,0.6327052021237516,0.717391304347826
0.9,0.1,6,1,100,0.0,2.0,0.7,XGBoost,0.025375624808709522,0.6320291337785979,0.717391304347826
0.9,0.2,5,3,100,0.5,1.0,0.9,XGBoost,0.025671193437930614,0.6312070484612744,0.717391304347826
0.9,0.2,5,3,300,0.5,1.0,0.7,XGBoost,0.025983164173209415,0.6311165199617725,0.717391304347826
0.9,0.2,5,3,200,0.5,1.0,0.7,XGBoost,0.02597556989822408,0.630983497298471,0.717391304347826
0.9,0.05,6,1,300,0.5,2.0,0.9,XGBoost,0.025821008893064334,0.6309249670256971,0.717391304347826
0.7,0.1,6,3,200,0.0,1.0,0.9,XGBoost,0.02566109737789706,0.6303979937732975,0.717391304347826
0.7,0.2,6,1,200,0.5,2.0,0.9,XGBoost,0.026117705693340397,0.6298797263749549,0.717391304347826
0.9,0.1,6,1,200,0.0,2.0,0.7,XGBoost,0.025590137045396758,0.6298169009525957,0.717391304347826
0.7,0.1,5,1,100,0.5,2.0,0.7,XGBoost,0.025869676066560515,0.6291628755838831,0.717391304347826
0.7,0.1,6,3,300,0.0,1.0,0.9,XGBoost,0.02577892595865574,0.6288466455867223,0.717391304347826
0.9,0.2,5,3,300,0.5,1.0,0.9,XGBoost,0.025846785051800467,0.6288095949015503,0.717391304347826
0.7,0.2,6,1,300,0.5,2.0,0.9,XGBoost,0.02619167063173512,0.6287853600547443,0.717391304347826
0.9,0.2,5,3,200,0.5,1.0,0.9,XGBoost,0.02587367061089422,0.6286660922412025,0.717391304347826
0.9,0.1,6,1,200,0.5,1.0,0.9,XGBoost,0.026027846492776178,0.6284884587051764,0.717391304347826
0.9,0.1,6,1,300,0.0,2.0,0.7,XGBoost,0.025710330100225276,0.6283339902877209,0.717391304347826
0.7,0.1,5,1,200,0.5,2.0,0.7,XGBoost,0.025961481791217732,0.6276917082281146,0.717391304347826
0.9,0.1,6,1,300,0.5,1.0,0.9,XGBoost,0.026128054397417957,0.6269679958266524,0.717391304347826
0.9,0.1,5,3,200,0.5,1.0,0.7,XGBoost,0.02586838089906371,0.6265886939093387,0.717391304347826
0.7,0.1,5,1,300,0.5,2.0,0.7,XGBoost,0.026065617679462336,0.6264355198626494,0.717391304347826
0.9,0.1,6,3,200,0.5,2.0,0.7,XGBoost,0.026006799769158154,0.6259521409622345,0.717391304347826
0.9,0.2,6,1,100,0.0,1.0,0.7,XGBoost,0.026350958189929864,0.625452026546496,0.717391304347826
0.9,0.2,6,1,300,0.0,1.0,0.7,XGBoost,0.02635760518966815,0.6252076491661606,0.717391304347826
0.9,0.2,6,1,200,0.0,1.0,0.7,XGBoost,0.026358243429438644,0.6252035887968176,0.717391304347826
0.9,0.1,6,3,300,0.5,2.0,0.7,XGBoost,0.026086389731302062,0.6249507170237608,0.717391304347826
0.9,0.1,5,3,300,0.5,1.0,0.7,XGBoost,0.02600541056122248,0.6245561954167972,0.717391304347826
0.9,0.1,6,3,100,0.5,1.0,0.7,XGBoost,0.026131531476515268,0.6239261593561861,0.717391304347826
0.7,0.1,5,3,200,0.0,2.0,0.7,XGBoost,0.02623443594807409,0.6221148141464837,0.717391304347826
0.7,0.2,5,1,200,0.5,1.0,0.9,XGBoost,0.02674685097379919,0.6220248560842504,0.717391304347826
0.9,0.1,6,3,200,0.5,1.0,0.7,XGBoost,0.026356257461629666,0.6219030130182416,0.717391304347826
0.9,0.1,6,3,300,0.5,1.0,0.7,XGBoost,0.02638323347067845,0.6212992140405554,0.717391304347826
0.7,0.2,5,3,100,0.0,2.0,0.9,XGBoost,0.026097444606214576,0.6198708028529033,0.717391304347826
0.9,0.2,5,3,100,0.5,2.0,0.9,XGBoost,0.026789601564046243,0.6194704593292679,0.717391304347826
